enkel,grandchild,ankle,fußknöchel
annonce,advertisement,announcement,Ansage
apart,fancy,apart,einzeln
arm,poor,arm,arm
art,kind,art,kunst
Beamer,projector,beamer,bmw
Billion,trillion,billion,Milliarde
Büro,office,biro,Kugelschreiber
Bord,shelf,board,Tafel
Body,bodysuit,body,Körper
Bein,leg,bone,Knochen
Brand,fire,brand,Marke
brav,honest,brave,mutig
Brief,letter,brief,kurz
Brieftasche,wallet,briefcase,Aktentasche
Kaution,deposit,caution,Vorsicht
Chance,opportunity,chance,Zufall
Chef,boss,chef,küchenchef
Kollege,colleague,college,Hochschule
Konzern,group,concern,angelegenheit
konkret,specific,concrete,Beton
Konkurrenz,competition,concurrence,Mitwirkung
Konfession,religion,confession,Geständnis
Korn,grain,corn,Mais 
Kraft,strength,craft,Handwerk
Kritik,criticism,critic,Kritiker
kurios,strange,curious,neugierig
delikat,delicious,delicate,empfindlich
Dessert,dessert,desert,Wüste
Direktion,management,direction,Richtung
Dom,cathedral,dome,Kuppel
Dose,can,dose,dosis
Igel,hedgehog,eagle,Adler
engagiert,committed,engaged,verlobt
egal,identical,equal,gleich
eventuell,possible,eventually,irgendwann
Fabrik,factory,fabric,Stoff
familiär,family,familiar,bekannt
famos,splendid,famous,berühmt
fast,almost,fast,schnell
Flur,hall,floor,Fußboden
vor,before,for,für
Formular,form,formula,Formel
genial,brilliant,genial,angenehm
Gift,poison,gift,Geschenk
gültig,valid,guilty,schuldig
Happen,snack,happen,geschehen
hart,hard,hardly,kaum
Herd,cooker,herd,Herde
Hausaufgaben,homework,housework,Hausarbeit
Hut,hat,hut,Hütte
eitel,vain,idle,untätig
irritieren,confuse,irritate,verärgern
Lake,brine,lake,See
Lektüre,reading,lecture,Vortrag
Limone,lime,lemon,Zitrone
List,trick,list,Liste
Lohn,wages,loan,Kredit
Lyrik,poetry,lyrics,Liedtext
Marke,brand,mark,Note
massiv,solid,massive,riesig
Meinung,opinion,meaning,Bedeutung
Miete,rent,meet,treffen
Messe,fair,mess,Unordnung
Mode,fashion,mode,Modus
Note,mark,note,Notiz
Novelle,novella,novel,Roman
Objektiv,lens,objective,Ziel
ordinär,vulgar,ordinary,gewöhnlich
Physiker,physicist,physician,Arzt
prägnant,concise,pregnant,schwanger
Präservativ,condom,preservative,Konservierungsmittel
prinzipiell,fundamental,principal,hauptsächlich
Prokurist,attorney,procurer,Zuhälter
Publikum,audience,public,Öffentlichkeit
Rabatt,discount,rabbit,Hase
Rat,advice,rat,Ratte
Rente,pension,rent,mieten
rentabel,profitable,rentable,mietbar
Roman,novel,roman,römisch
selbstbewusst,self-confident,self-conscious,verlegen
Sense,scythe,sense,Sinn
sensibel,sensitive,sensible,vernünftig
seriös,respectable,serious,ernst
Schellfisch,haddock,shellfish,Schalentier
Sinn,sense,sin,Sünde
Speisen,dishes,spices,Gewürze
Stadium,stage,stadium,Stadion
still,quiet,still,noch
Stuhl,chair,stool,Hocker,
streng,strict,strong,stark
Studium,studies,study,Arbeitszimmer
Stoff,material,stuff,Zeug
Suite,suite,suit,Anzug
Tablett,tray,tablet,Tablette
bekommen,to get,become,werden
graben,dig,grab,greifen
irritieren,confuse,irritate,verärgern
wer,who,where,wo
wo,where,who,wer
